r,l,l,l,l,l,l,r,l,l,r,p,a,c,c,d,d,d,p,a,l
1815,1985,2553,2771,2947,3119,3271,3505,3703,3831,4045,4231,4363,4431,4505,4705,4781,4853,4966.3,5085,5175
1881,2073,2693,2873,3037,3225,3349,3575,3767,3921,4137,4299,4405,4501,4581,4755,4845,4928,5041,5149,5273
