l,l,l,l,l,r,r,l,r,l,r,l,r,p,a,c,c,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,x,y,d,d,d,p
1767,1955,2171,2355,2537,3167,3825,3987,4371,4537,4759,5019,5221,5373,5509,5591.1,5665.2,5845,5917,5987,6095,6201,6277.1,6354.4,6577,6729,6897,6973,7041,7151,7255,7330.5,7406.9,7625,7773,7903,7975,8047,8151,8255,8331.2,8411.5,8787,8943,9099,9171,9247,9353,9459,9536.9,9615.1,9819,9971,10153,10225,10299,10407
1817,2061,2271,2437,2611,3219,3875,4063,4435,4611,4817,5091,5287,5457,5577,5645.5,5730.1,5899,5975,6057,6165,6265,6342.7,6419.7,6649,6809,6957,7029,7113,7221,7319,7397.5,7474.9,7751,7833,7959,8035,8117,8225,8319,8399.4,8477.7,8845,9023,9155,9233,9317,9429,9525,9594.7,9676.4,9959,10033,10207,10287,10371,10485
