l,r,w,l,l,l,r,l,l,r,p,a,c,c,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,l,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,w,y,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,r,p,a,c,c,x,y,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c
1943,2277,2417,2647,2799,2975,3579,3743,3887,4091,4247,4383,4461.6,4534.7,4711,4783,4853,4955,5061,5135.3,5211.7,5445,5595,5755,5827,5899,6003,6107,6182.5,6260,6497,6659,6823,6999,7143,7283,7360.1,7437.2,7615,7763,7905,7979,8049,8153,8259,8341,8414.2,8631,8781,8907,8979,9051,9171,9261,9337.4,9414.7,9639,9805,9995,10135,10281,10356,10434,10625,10777,10909,10981,11053,11157,11261,11338,11416,11615,11773,11909,11983,12055,12163,12269,12345,12424,12763,12913,13081,13155,13229,13335,13439,13516,13596,13869,14023,14255,14409,14561,14640,14718,14921,15073,15199,15273,15347,15455,15559,15639,15716,15995,16141,16307,16379,16453,16561,16669,16749,16827,17189,17337,17503,17578,17659,17865,18021,18151,18225,18301,18411,18515,18591,18672,18951,19093,19293,19441,19585,19664,19742,19943,20093,20231,20305,20379,20485,20589,20667,20749
2029,2335,2565,2731,2885,3055,3639,3811,3959,4157,4323,4443,4510.2,4592,4759,4839,4919,5029,5123,5199.7,5275.4,5515,5673,5811,5885,5969,6073,6167,6248.6,6324.1,6561,6727,6895,7071,7223,7349,7424.6,7508.7,7751,7829,7961,8035,8119,8227,8323,8402.8,8481.3,8763,8841,8965,9039,9119,9227,9321,9403,9481.7,9705,9885,10051,10215,10345,10422,10500,10763,10847,10963,11039,11121,11231,11325,11404,11484,11741,11831,11967,12043,12127,12237,12327,12411,12491,12835,13003,13141,13207,13299,13405,13505,13584,13663,13935,14105,14319,14491,14629,14707,14787,15059,15139,15257,15333,15419,15529,15627,15704,15785,16063,16223,16367,16439,16519,16637,16735,16815,16895,17255,17421,17569,17647,17729,18009,18087,18211,18287,18375,18481,18583,18661,18740,19011,19169,19363,19523,19651,19731,19809,20073,20161,20287,20363,20447,20559,20655,20739,20817
