l,l,l,r,l,l,r,l,r,p,a,c,c,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,r,p,a,c,c,x,y,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,p,d,d,d,p,a,c,c
1557,1923,2175,2393,2573,2749,3045,3219,3429,3583,3731,3803,3879,4061,4135,4209,4309,4433,4503,4579,4843,4997,5165,5241,5315,5421,5539,5611,5687,5953,6101,6267,6339,6415,6607,6757,6891,6965,7039,7143,7261,7331,7407,7687,7809,8009,8165,8317,8389,8463,8655,8809,8943,9019,9089,9195,9313,9383,9459
1661,2077,2263,2457,2643,2823,3113,3289,3503,3663,3783,3857,3939,4121,4195,4279,4391,4487,4559,4641,4923,5087,5225,5305,5389,5501,5591,5667,5745,6025,6187,6325,6397,6477,6747,6823,6951,7029,7109,7219,7315,7391,7471,7751,7881,8089,8251,8367,8453,8527,8807,8877,9003,9083,9163,9275,9361,9441,9545
