l,l,l,l,l,l,r,l,r,l,l,r,p,a,c,c,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c
1539,1927,2143,2331,2505,2673,3005,3165,3351,3527,3689,3883,4029,4167,4239.1,4317.1,4489,4563,4635,4751,4847,4924.5,5001.4,5287,5429,5587,5659,5731,5837,5941,6016.8,6094.4,6289,6437,6591,6663,6735,6845,6951,7025.2,7104.7,7389,7533,7715,7863,7995,8071.8,8148.1,8329,8481,8607,8681,8753,8861,8965,9042.1,9119.2,9315,9471,9597,9673,9745,9857,9957,10032,10110,10745,10867,11027,11101,11173,11281,11385,11464,11542,11735,11885,12019,12095,12169,12277,12383,12460,12541
1641,2049,2241,2417,2575,2753,3063,3229,3415,3593,3759,3949,4103,4225,4293.1,4375.1,4545,4619,4703,4811,4913,4983.1,5064.8,5341,5503,5639,5715,5799,5909,6005,6075.2,6157.8,6419,6501,6647,6719,6805,6917,7015,7090.7,7170.4,7453,7603,7779,7937,8059,8128.8,8214.9,8455,8547,8659,8739,8823,8935,9031,9111.8,9183.2,9453,9531,9655,9731,9815,9925,10023,10101,10182,10783,10941,11083,11157,11243,11355,11447,11528,11606,11871,11949,12077,12151,12239,12349,12449,12532,12609
