r,l,l,l,r,p,a,c,c,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c
1969,2119,2295,2461,2751,2921,3073,3150.1,3224,3417,3487,3559,3665,3765,3843.8,3921.8,4301,4455,4617,4691,4763,4871,4977,5053.2,5131.7,5369,5515,5655,5731,5801,5907,6011,6087.4,6165.5,6399,6543,6739,6885,7025,7099.8,7179.5,7379,7527,7653,7727,7799,7907,8009,8087.7,8163.7,8461,8609,8763,8835,8909,9017,9121,9197.3,9276.5,9501,9655,9787,9859,9933,10039,10147,10225,10304,10663,10811,10969,11043,11117,11229,11333,11410,11490,11719,11867,12011,12085,12159,12269,12375,12452,12531,12799,12945,13157,13311,13451,13527,13605,13819,13969,14113,14187,14263,14373,14477,14555,14636
2021,2209,2373,2537,2815,2999,3133,3201.2,3284.6,3469,3543,3625,3733,3833,3907.9,3988.1,4367,4535,4673,4749,4835,4943,5041,5119.3,5195.1,5499,5579,5711,5789,5871,5979,6075,6155.1,6229.5,6461,6613,6803,6963,7089,7165.6,7246.7,7513,7595,7709,7783,7867,7977,8073,8151.7,8231.3,8527,8687,8819,8897,8979,9091,9183,9265.8,9346.9,9641,9719,9847,9921,10003,10115,10213,10292,10371,10727,10891,11025,11101,11187,11297,11397,11477,11557,11855,11935,12067,12145,12233,12343,12439,12522,12604,12861,13017,13227,13387,13517,13596,13676,13957,14041,14171,14247,14333,14443,14543,14625,14706
