l,l,l,l,l,l,l,l,l,r,l,r,l,l,l,r,p,a,c,c,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,l,r,p,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c
761,1255,1431,1761,1961,2131,2307,2489,2651,2899,3063,3317,3493,3651,3825,4041,4201,4345,4413,4491,4677,4751,4823,4931,5047,5115,5191,5423,5581,5741,5819,5891,5997,6117,6187,6261,6513,6703,6853,7001,7071,7147,7349,7499,7635,7707,7779,7883,8003,8075,8151,8467,8677,8829,8977,9045,9121,9341,9493,9645,9719,9791,9893,10013,10083,10161,10373,10525,10667,10741,10817,10919,11045,11113,11191,11425,11643,11801,11953,12023,12099,12313,12465,12601,12673,12749,12855,12979,13049,13125,13393,13603,13759,13921,13995,14067,14173,14291,14361,14439,14691,14841,15051,15195,15349,15419,15495,15749,15903,16047,16123,16195,16301,16423,16495,16571
807,1327,1515,1867,2051,2217,2409,2575,2735,2963,3135,3393,3553,3729,3903,4121,4283,4389,4467,4553,4735,4809,4897,5003,5095,5173,5255,5495,5667,5801,5879,5965,6075,6167,6247,6325,6585,6781,6939,7053,7129,7211,7485,7563,7697,7769,7855,7965,8059,8135,8217,8543,8755,8917,9023,9105,9187,9479,9557,9711,9783,9865,9973,10065,10147,10225,10513,10591,10727,10807,10891,11001,11095,11177,11255,11497,11723,11891,12003,12083,12165,12451,12533,12663,12741,12825,12939,13039,13113,13191,13457,13687,13849,13985,14057,14149,14251,14347,14423,14505,14769,14921,15129,15289,15405,15485,15565,15891,15975,16109,16187,16279,16383,16481,16551,16641
