l,l,l,r,l,r,l,l,r,p,a,c,c,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,r,p,a,c,c,x,y,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c,r,p,a,c,c,x,y,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c
1981.3,2150.1,2323,2514.1,2675.1,3133.5,3287,3435.2,3627.7,3786.6,3922.6,4003.5,4079.1,4257.9,4332.5,4403.3,4512.8,4619.8,4694.8,4776.6,5015.9,5164.7,5325.3,5399.5,5472.5,5583.8,5689,5759.4,5842.8,6091.4,6238.8,6403.3,6468.1,6546.8,6740.2,6893.4,7022.4,7097.8,7171.9,7277.2,7387.3,7460.6,7536.2,7801.5,7953.2,8118.8,8193.3,8267.6,8377.4,8483.4,8557.8,8638.5,8846.3,8997.1,9137.3,9211.8,9285.4,9391,9498.4,9573.4,9654.1,9963.6,10118,10275,10354,10432,10635,10787,10920,10996,11070,11181,11287,11362,11443,11680,11832,11962,12038,12112,12218,12327,12404,12485
2082.2,2241.2,2407.1,2568.5,2742.6,3186.8,3356.3,3502.4,3693.9,3859.2,3984.8,4045.1,4129.6,4309.5,4385.4,4465.7,4576.4,4678.1,4764.8,4843.9,5076.1,5243.9,5376.1,5457.9,5540.1,5648,5749,5839.6,5919.8,6156.5,6319.8,6455.5,6540.3,6616.9,6876.4,6956.7,7076.9,7153.1,7240.2,7350.7,7450.3,7531,7607.2,7867.1,8033.6,8174.8,8248.2,8334.9,8443.3,8544,8628.8,8705.9,8977,9057.9,9192.8,9267.2,9352.5,9462.5,9560.4,9644.8,9724.7,10034,10201,10340,10425,10510,10767,10850,10977,11053,11137,11249,11349,11428,11512,11812,11896,12016,12096,12180,12292,12393,12475,12555
