l,l,l,l,l,l,l,l,l,l,l,r,l,l,w,r,p,a,c,c,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,r,p,a,c,c,x,y,d,d,d,p,a,c,c,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,l
163,985,1767,1937,2397,2613,2765,2925,3099,3287,3817,4097,4269,4417,4575,4799,4961,5115,5183,5259,5433,5507,5579,5683,5805,5873,5949,6209,6367,6539,6611,6687,6787,6909,6979,7055,7299,7453,7629,7697,7775,7971,8123,8249,8323,8397,8503,8623,8691,8769,9007,9193,9343,9489,9561,9637,9825,9973,10103,10177,10249,10353,10475,10545,10619,10849,11025,11167,11319,11389,11467,11673,11825,11955,12029,12101,12207,12319,12395,12475,12719,12875,13037,13111,13185,13291,13407,13479,13559,14145
195,1029,1811,2059,2531,2695,2855,3011,3185,3377,3901,4169,4347,4501,4655,4879,5043,5153,5237,5321,5489,5569,5651,5761,5851,5933,6013,6283,6455,6599,6675,6757,6871,6963,7035,7117,7377,7545,7679,7751,7841,8107,8191,8309,8387,8473,8587,8669,8751,8833,9079,9271,9431,9541,9619,9719,9961,10037,10161,10241,10325,10435,10527,10605,10685,10919,11105,11257,11371,11447,11535,11811,11893,12015,12093,12177,12289,12381,12457,12539,12797,12959,13101,13175,13259,13371,13463,13541,13623,14177
