l,w,l,l,l,r,l,l,l,r,p,a,c,c,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,r,p,a,c,c,x,y,d,d,d,p,a,c,c
1239,1483,1715,1973,2157,2373,2537,2685,2839,3037,3193,3341,3409,3483,3663,3735,3805,3911,4031,4101,4175,4423,4577,4737,4811,4883,4985,5107,5175,5251,5453,5601,5729,5805,5877,5983,6099,6167,6245,6443,6597,6727,6801,6871,6977,7097,7169,7243,7487,7659,7841,7987,8129,8201,8279,8477,8625,8763,8835,8905,9011,9129,9199,9273,9487,9641,9773,9847,9919,10027,10145,10215,10291,10511,10699,10849,10997,11069,11145,11333,11487,11613,11685,11757,11863,11973,12053,12131,12407,12605,12759,12913,12985,13061,13257,13411,13571,13643,13715,13823,13941,14013,14087,14393,14549,14717,14783,14863,15089,15237,15373,15449,15523,15631,15751,15821,15899
1303,1629,1823,2087,2243,2443,2607,2759,2923,3111,3275,3389,3465,3559,3721,3797,3879,3991,4081,4159,4257,4497,4667,4799,4875,4957,5069,5157,5233,5329,5583,5663,5791,5869,5953,6061,6151,6229,6305,6581,6659,6787,6863,6945,7059,7151,7223,7309,7555,7737,7913,8073,8185,8261,8341,8615,8693,8823,8901,8981,9089,9181,9259,9357,9629,9705,9835,9911,9995,10103,10199,10277,10355,10579,10771,10933,11051,11131,11207,11471,11551,11671,11749,11833,11945,12037,12113,12205,12473,12679,12849,12967,13045,13125,13397,13479,13633,13707,13795,13903,13995,14079,14155,14465,14645,14771,14847,14929,15225,15307,15435,15515,15599,15711,15803,15883,15963
