l,l,l,l,r,l,l,r,p,a,c,c,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c,r,p,a,c,c,x,y,d,d,d,p,a,c,c,l,l,r,p,d,d,d,p,a,c,c,x,y,d,d,d,a,c,c,x,y,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c
1817,1951,2123,2285,2843,2999,3163,3361,3513,3651,3728.2,3801.6,3963,4039,4107,4211,4311,4385.8,4462.8,4691,4839,4999,5071,5143,5251,5351,5429.9,5505.4,5735,5883,6045,6117,6189,6295,6397,6472.7,6549.9,6745,6895,7025,7099,7169,7275,7375,7452.9,7530.3,7779,7931,8091,8166.3,8245.1,8431,8583,8711,8783,8857,8967,9067,9147.8,9221.7,9455,9605,9797,9939,10099,10171,10243,10353,10455,10531,10610,10821,10969,11109,11183,11257,11481,11547,11623,11849,12001,12141,12215,12287,12393,12499,12575,12655,13101,13251,13411,13487,13559,13665,13771,13849,13930,14241,14393,14593,14747,14883,14967,15040,15237,15393,15539,15613,15687,15793,15901,15977,16057
1851,2027,2189,2357,2881,3067,3235,3421,3583,3705,3780.6,3862,4015,4091,4171,4275,4375,4448,4527,4759,4917,5057,5131,5213,5317,5417,5490,5568.5,5799,5961,6099,6173,6257,6363,6463,6539.1,6616.2,6871,6957,7077,7155,7237,7343,7437,7520.1,7597.7,7845,8005,8157,8234.3,8310.2,8567,8631,8769,8841,8925,9031,9131,9211.3,9289.7,9511,9673,9863,10015,10153,10231,10313,10421,10519,10595,10675,10949,11033,11163,11241,11323,11533,11621,11697,11975,12071,12197,12273,12357,12469,12565,12644,12724,13167,13329,13469,13545,13631,13735,13837,13917,13989,14303,14467,14657,14827,14951,15029,15110,15381,15459,15599,15671,15759,15865,15967,16045,16127
