l,l,l,l,l,l,w,w,r,l,l,r,p,a,c,c,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c
711,1557,1967,2123,2301,2473,2639,2817,3431,3587,3731,3965,4127,4281,4351,4427,4621,4695,4767,4871,4991,5063,5137,5461,5611,5781,5855,5929,6031,6155,6223,6299,6549,6701,6889,7039,7197,7265,7341,7529,7679,7807,7883,7955,8059,8179,8249,8327,8631,8791,8959,9033,9105,9211,9323,9401,9477,9733,9875,10087,10241,10407,10477,10555,10763,10915,11059,11135,11205,11313,11433,11501,11579
749,1617,2043,2217,2391,2573,2731,2899,3503,3665,3819,4037,4213,4323,4407,4487,4683,4759,4843,4951,5043,5121,5209,5541,5707,5843,5917,6003,6115,6201,6275,6365,6619,6773,6967,7135,7245,7325,7409,7669,7749,7869,7947,8029,8141,8231,8311,8393,8703,8879,9023,9099,9181,9293,9383,9465,9559,9803,9955,10165,10331,10463,10541,10627,10905,10983,11125,11199,11281,11393,11483,11565,11663
