w,l,l,l,l,l,r,l,l,r,p,a,c,c,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c,r,p,a,c,c,x,y,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,r,p,a,c,c,x,y,d,d,d,p,a,c,c
2905,3187,3351,3515,3673,3829,4003,4165,4315,4511,4663,4809,4879,4953,5127,5201,5275,5377,5495,5563,5639,5855,6009,6167,6241,6313,6415,6533,6603,6681,6879,7025,7153,7227,7299,7405,7523,7591,7665,7901,8049,8203,8273,8349,8551,8703,8837,8911,8983,9087,9203,9273,9349,9583,9735,9899,9971,10045,10149,10265,10335,10413,10669,10819,11015,11167,11309,11383,11459,11647,11799,11931,12005,12079,12185,12307,12373,12453,12739,12897,13057,13131,13207,13421,13571,13707,13779,13851,13957,14079,14147,14225
3111,3287,3445,3601,3763,3917,4077,4239,4393,4589,4745,4853,4935,5015,5189,5263,5345,5459,5543,5625,5707,5933,6093,6229,6303,6385,6499,6587,6659,6751,7007,7093,7213,7293,7377,7483,7575,7651,7741,7973,8133,8257,8335,8411,8699,8775,8901,8975,9061,9165,9259,9335,9413,9663,9825,9965,10039,10121,10231,10319,10397,10477,10743,10897,11095,11257,11367,11443,11525,11787,11867,11993,12069,12153,12271,12351,12435,12515,12817,12985,13113,13189,13271,13559,13649,13767,13845,13927,14039,14127,14205,14295
