l,l,l,l,l,l,l,l,l,l,l,l,l,r,l,l,r,p,a,c,c,r,p,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c
663,1379,1819,1977,2165,2387,2595,2763,2949,3125,3795,3949,4573,5069,5233,5395,5683,5853,6045,6115,6191,6453,6607,6777,6851,6921,7031,7147,7215,7293,7623,7789,7953,8031,8101,8209,8329,8397,8475,8879,9041,9213,9287,9359,9469,9585,9657,9735
703,1417,1875,2071,2297,2479,2685,2855,3047,3213,3871,4043,4707,5147,5323,5485,5773,5945,6097,6177,6261,6533,6705,6841,6919,7005,7113,7201,7285,7361,7699,7867,8021,8091.6,8185,8293,8379,8463,8547,8943,9123,9277,9353,9443,9553,9639,9723,9801
