l,l,l,r,l,l,l,r,l,w,r,p,a,c,c,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,r,p,a,c,c,x,y,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c,l,l,r,p,d,d,d,p,a,c,c,r,p,a,c,c,x,y,d,d,d,p,a,c,c,l,l,r,p,a,c,c
1199,1421,1597,1803,1965,2117,2301,2495,2667,2815,3019,3169,3315,3385,3459,3629,3703,3775,3879,3997,4065,4139,4369,4517,4677,4751,4823,4929,5043,5111,5189,5423,5575,5731,5799,5875,6057,6207,6339,6413,6483,6585,6697,6773,6849,7089,7233,7409,7561,7705,7777,7849,8047,8195,8317,8391,8463,8565,8681,8753,8831,9029,9181,9319,9393,9465,9569,9679,9755,9831,10097,10235,10421,10571,10729,10805,10877,10981,11089,11169,11247,11489,11641,11787,11867,11945,12151,12301,12437,12513,12585,12689,12811,12879,12955,13217,13373,13563,13723,13877,13945,14021
1335,1499,1693,1869,2041,2227,2379,2565,2743,2891,3093,3257,3357,3441,3523,3691,3767,3847,3955,4049,4123,4205,4443,4609,4741,4817,4899,5007,5095,5173,5257,5497,5667,5783,5859,5939,6193,6275,6399,6475,6561,6667,6757,6833,6921,7161,7315,7489,7651,7761,7833,7921,8189,8261,8381,8455,8539,8645,8737,8815,8897,9159,9245,9381,9459,9541,9651,9741,9817,9901,10169,10309,10503,10665,10791,10869,10955,11063,11153,11229,11313,11567,11729,11853,11931,12027,12297,12373,12503,12579,12661,12773,12869,12943,13029,13289,13453,13645,13813,13935,14005,14111
