w,r,l,l,r,r,a,c,c,d,d,d,r,a,c,c,r,r,d,d,d,r,a,c,c,w,y,d,d,d,r,a,c,c,l,l,r,r,a,c,c,x,l,d,d,d,r,a,c,c,l,l,r,r,a,c,c,x,y,d,d,d,r,a,c,c,l,l,r,r,d,d,d,r,a,c,c,r,r,d,d,d,r,a,c,c,r,r,a,c,c,x,y,d,d,d,r,a,c,c,l,l,r,r,a,c,c,x,y,d,d,d,r,a,c,c
1964,2731.1,2871.2,3036.8,3256.4,3415.6,3543.6,3616.9,3696.3,3880.5,3952.9,4023.2,4130.4,4232.5,4312.1,4383.8,4616,4763.1,4927.4,4998.8,5070.6,5179,5281.4,5356.1,5433.2,5640.9,5793.5,5924.8,5998.4,6069.6,6174.1,6280.5,6357.2,6434.9,6687.4,6822,7008.1,7149.7,7281,7356.2,7434.9,7630.9,7784.1,7916,7987.2,8058.8,8166.5,8267.3,8341.9,8420.7,8647,8795.9,8984,9129.6,9264.2,9340.8,9418.5,9613.7,9769.2,9888.3,9960.4,10033,10142,10243,10318,10397,10649,10800,10980,11126,11283,11356,11431,11535,11642,11716,11798,12140,12291,12450,12524,12596,12704,12807,12879,12962,13233,13394,13534,13610,13690,13908,14062,14186,14260,14333,14442,14545,14619,14699,14988,15128,15337,15491,15633,15710,15790,15992,16145,16280,16355,16427,16537,16640,16716,16796
2062,2768,2959,3108.8,3314.6,3485.1,3602.3,3690.2,3768.4,3927.9,4005.6,4086.3,4196.8,4292.2,4355.5,4435.3,4676.8,4839.1,4979.3,5052.2,5135.7,5243.7,5339.4,5418,5500,5773.5,5849.7,5975.9,6051.7,6136.8,6245.3,6339.5,6422.2,6500.6,6742.8,6890.9,7064.5,7226,7342.4,7423.2,7502.6,7762,7839.8,7963.9,8041.6,8124.2,8231.6,8326.7,8406.8,8488.7,8706.2,8859.8,9042.3,9207.2,9326.7,9406.9,9485.2,9746.6,9831.5,9936.3,10014,10097,10211,10302,10387,10463,10708,10869,11046,11202,11335,11411,11498,11609,11701,11784,11862,12205,12366,12501,12580,12664,12773,12868,12958,13037,13296,13470,13595,13677,13758,14041,14123,14237,14313,14401,14511,14603,14686,14764,15044,15200,15405,15565,15694,15778,15858,16124,16207,16334,16410,16496,16606,16702,16786,16864
