l,l,l,l,r,l,l,r,p,a,c,c,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c
1767,1953,2145,2311,2581,2745,2891,3101,3257,3389,3463,3535,3725,3795,3865,3967,4071,4148.9,4221.7,4451,4595,4759,4833,4905,5007,5113,5189.9,5266.1,5501,5649,5807,5877,5945,6051,6153,6228.6,6305.2,6519,6669,6823,6897,6967,7073,7175,7253.2,7329.7,7593,7745,7911,7985,8057,8161,8267,8344.7,8420.6,8619,8769,8899,8971,9043,9151,9253,9328.8,9406,9651,9783,9971,10113,10251,10325,10403,10611,10759,10919,10991,11063,11169,11277,11356,11431
1871,2069,2213,2377,2635,2809,2955,3163,3329,3451,3533,3605,3773,3851,3931,4039,4135,4207.7,4283.8,4515,4671,4817,4891,4975,5079,5177,5251.7,5328.5,5569,5723,5861,5933,6015,6119,6219,6295.3,6372,6583,6745,6879,6957,7039,7145,7239,7319.8,7398.6,7661,7821,7969,8045,8127,8235,8331,8406.8,8483.2,8753,8829,8957,9031,9113,9219,9319,9394.9,9474,9713,9859,10033,10191,10315,10388,10471,10743,10823,10975,11049,11135,11241,11343,11417,11499
