l,l,r,l,l,l,r,l,l,l,r,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c
1063,2187,3241,3419,3601,4123,4407,4583,4741,4913,5147,5437,5519.5,5593.5,5923,6081,6297,6437,6591,6667.4,6745,6989,7145,7293,7369,7443,7549,7657,7751,7813.5,8353,8503,8665,8739,8815,8923,9029,9107.7,9186.6,9469,9609,9777,9851,9925,10031,10139,10217,10296
1133,2233,3303,3521,3679,4193,4441,4641,4813,4981,5197,5499,5579.8,5657.3,5991,6159,6337,6509,6657,6725.9,6811.8,7119,7189,7349,7427,7505,7621,7719,7800.6,7884.2,8395,8569,8723,8801,8877,8989,9093,9173.9,9253.3,9511,9687,9835,9911,9993,10099,10197,10289,10363
