l,l,l,l,l,l,r,l,l,r,p,a,c,c,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,r,p,a,c,c,x,y,d,d,d,p,a,c,c,r,p,a,c,c,x,y,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c
1786.7,1968,2145.9,2303.5,2455.8,2623.8,2921.2,3086.5,3250.1,3434.2,3588.6,3723.8,3796.2,3876.4,4060.4,4133.5,4205,4311.8,4417.1,4495.3,4570.4,4813.5,4961.6,5128.1,5201.3,5272.9,5382.4,5484.7,5555.7,5638.2,5880.7,6036.8,6195.4,6269.7,6342.8,6449.4,6552.3,6627.6,6706.6,6947.3,7100.5,7250.5,7322.8,7406.2,7591.1,7742.8,7868.6,7942.7,8014.3,8123.6,8226.8,8304.4,8381.2,8693.5,8842,8983,9062,9140.5,9342.3,9491.4,9621,9695.8,9769.4,9877.5,9983.2,10054,10137,10367,10515,10698,10850,10989,11065,11146,11361,11516,11664,11738,11811,11917,12024,12104,12179
1860,2066.1,2231.7,2377.5,2531.1,2694.8,2979.3,3152.6,3313,3499,3664,3785.2,3872.7,3955,4110.8,4188,4272.8,4379.8,4478.2,4540.2,4621.3,4875.8,5037.8,5179.8,5252.8,5339,5447.9,5544.8,5634.3,5712.2,5937.2,6109,6245.9,6325.4,6406.3,6516,6612.7,6696.9,6774.8,7014.8,7171.4,7313.3,7402.9,7479.2,7724.1,7802.8,7922.8,7997.3,8080.8,8190.5,8288.3,8369.2,8452.3,8758.5,8919.2,9047.8,9134.3,9211,9473.2,9555.3,9675.5,9749.8,9836,9947,10042,10134,10217,10424,10582,10766,10928,11053,11128,11215,11501,11577,11718,11792,11877,11990,12089,12170,12249
