l,l,l,l,l,l,r,l,l,l,l,l,l,r,p,a,c,c,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c,r,p,a,c,c,x,y,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c,r,p,a,c,c,x,y,d,d,d,p,a,c,c
1949.5,2123.4,2296.7,2464.6,2633.3,2816.6,3691.3,3842.2,4034.3,4216.7,4420.1,4583.3,4752.2,4951.6,5107.9,5257.7,5321,5404.5,5580.2,5653.6,5724,5834.5,5938.8,6010.4,6093.3,6332.2,6476,6641.3,6715.7,6788.2,6900.2,7003.6,7084.5,7158.9,7408.9,7551.1,7715.8,7789.6,7864.5,7973.4,8077.8,8152.3,8233.8,8472.7,8618.8,8753.6,8826.7,8900.5,9008.2,9118.7,9196.1,9275.3,9545.9,9696.9,9852,9928.2,10007,10204,10361,10488,10563,10636,10741,10854,10931,11010,11378,11532,11694,11771,11846,11952,12063,12140,12219,12434,12586,12728,12803,12876,12984,13094,13168,13250,13808,13954,14101,14178,14259,14456,14611,14757,14832,14905,15012,15123,15201,15282
2020,2191.7,2368.1,2536.3,2704.8,2902.1,3739.5,3903.9,4116.5,4285.2,4491.6,4651.7,4828.3,5014.9,5184.9,5310,5400.8,5476.5,5631.2,5705.9,5789,5902.4,5998.8,6086.6,6167.8,6392.1,6555,6694.1,6770.8,6856.2,6968.3,7067.5,7130,7210.4,7468.7,7632.4,7768.1,7843.5,7930.1,8041.2,8141.5,8224.2,8303.6,8598.2,8682.3,8805.1,8880.8,8965.8,9080.8,9181.5,9264.8,9343.4,9608.1,9777.2,9916,9992.9,10078,10341,10423,10543,10618,10702,10816,10919,11002,11080,11444,11615,11751,11826,11912,12027,12124,12211,12290,12570,12652,12783,12860,12944,13059,13159,13241,13319,13866,14038,14167,14250,14325,14591,14675,14812,14887,14973,15089,15186,15263,15353
