l,l,l,l,r,l,l,l,r,l,l,r,p,a,c,c,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,l,l,r,p,a,c,c,r,p,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c
7,195,583,825,1987,2131,2307,2505,2759,2921,3069,3259,3409,3543,3621.3,3699.1,3871,3945,4019,4121,4223,4299.7,4378.1,4831,4985,5151,5223,5297,5403,5507,5585.4,5661.8,6051,6203,6369,6443,6513,6621,6725,6803.4,6880.6,7103,7271,7449,7593,7729,7807,7884.2,8469,8625,8779,8851,8925,9027,9131,9206.2,9285.6,9481,9635,9765,9841,9911,10017,10121,10197,10275,10501,10651,10787,10863,10935,11045,11145,11221,11300,11557,11735,11935,12077,12213,12291,12370,12549,12701,12839,12909,12985,13087,13193,13270,13349
89,285,709,905,2043,2237,2399,2585,2819,2997,3143,3327,3485,3609,3678.8,3763,3927,4001,4085,4195,4289,4366.6,4445.4,4895,5065,5209,5283,5367,5475,5573,5650,5727,6121,6283,6427,6501,6583,6691,6793,6869.5,6946.4,7173,7343,7519,7673,7793,7873.3,7952.4,8537,8701,8835,8911,8993,9101,9195,9272.8,9351.8,9623,9699,9823,9897,9983,10091,10187,10265,10342,10627,10713,10845,10919,11005,11113,11211,11287,11367,11621,11809,12003,12155,12283,12357,12435,12689,12771,12893,12969,13053,13163,13257,13341,13416
