l,l,l,l,l,l,r,l,l,r,l,l,r,p,a,c,c,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,l,l,r,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c
1521,1699,1983,2119,2321,2489,2657,2823,2989,3151,3315,3479,3683,3835,4009,4077,4149,4347,4421,4491,4591,4711,4777,4851,5077,5227,5389,5463,5533,5639,5753,5819,5895,6125,6279,6435,6509,6579,6685,6801,6871,6945,7183,7327,7509,7663,7809,7879,7953,8163,8309,8445,8519,8589,8693,8801,8877,8953,9163,9313,9443,9519,9587,9695,9807,9877,9951,10177,10379,10529,10677,10745,10821,11041,11196,11319,11393,11465,11567,11685,11757,11831,12059,12187,12401,12549,12703,12773,12847,13119,13255,13439,13591,13741,13817,13893,14115,14267,14397,14473,14543,14651,14769,14837,14913
1555,1741,2053,2259,2425,2575,2725,2917,3069,3221,3391,3555,3755,3917,4053,4131,4213,4407,4481,4563,4667,4757,4837,4913,5149,5311,5449,5525,5605,5715,5803,5879,5959,6199,6367,6499,6573,6655,6759,6853,6931,7007,7249,7399,7585,7751,7863,7939,8025,8301,8375,8505,8583,8665,8775,8857,8935,9017,9305,9377,9507,9583,9667,9771,9861,9937,10013,10247,10453,10615,10735,10807,10889,11173,11255,11381,11455,11541,11647,11737,11813,11895,12127,12275,12481,12639,12755,12831,12917,13145,13329,13517,13681,13797,13877,13961,14263,14333,14459,14537,14617,14729,14815,14899,14995
