l,l,l,l,l,y,r,l,l,r,l,l,r,p,a,c,c,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,l,l,r,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c
1199,1599,1729,1947,2097,2255,2421,2591,2739,2909,3081,3245,3447,3601,3749,3819,3891,4077,4151,4223,4325,4441,4511,4583,4819,4971,5135,5211,5279,5383,5499,5571,5643,5885,6039,6209,6283,6353,6457,6569,6641,6715,6953,7127,7281,7427,7499,7575,7765,7913,8033,8107,8177,8279,8395,8467,8543,8759,8933,9087,9241,9313,9389,9585,9741,9871,9945,10015,10121,10239,10311,10385,10607,10759,10897,10971,11043,11147,11263,11335,11409,11667,11867,12019,12165,12239,12315,12519,12679,12809,12883,12955,13061,13183,13255,13329,13599,13741,13949,14101,14249,14313,14393,14595,14755,14901,14975,15049,15153,15273,15343,15421,15703,15857,16213,16385,16583,16731,16887,16955,17033,17227,17383,17525,17599,17671,17783,17891,17965,18045
1235,1653,1881,2037,2191,2345,2497,2679,2819,2987,3175,3333,3527,3695,3799,3879,3955,4139,4213,4301,4401,4495,4573,4649,4899,5061,5201,5275,5361,5467,5557,5631,5711,5961,6123,6275,6347,6437,6537,6629,6703,6783,7025,7207,7373,7485,7561,7643,7903,7965,8099,8173,8257,8365,8455,8531,8609,8829,9013,9181,9297,9377,9453,9727,9807,9937,10009,10093,10205,10293,10371,10453,10751,10829,10965,11037,11123,11235,11315,11393,11491,11737,11947,12115,12227,12301,12385,12665,12735,12869,12943,13035,13143,13233,13315,13413,13671,13819,14029,14195,14297,14379,14475,14745,14827,14965,15043,15129,15239,15327,15407,15491,15773,15937,16295,16469,16667,16829,16935,17019,17117,17377,17455,17589,17665,17751,17863,17955,18035,18115
