r,l,l,l,r,l,l,l,r,p,a,c,c,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c
5979,6147,6305,6481,6719,6891,7049,7227,7417,7567,7709,7786.2,7858.8,8039,8111,8183,8285,8387,8461.9,8539.1,8807,8953,9113,9185,9253,9359,9461,9536.3,9613.3,9851,9995,10149,10219,10293,10397,10503,10582,10655,10925,11065,11255,11409,11547,11623,11700,11909,12059,12201,12275,12347,12461,12561,12636,12714,13031,13191,13345,13419,13495,13595,13701,13777,13856,14117,14273,14471,14619,14753,14835,14911,15129,15279,15429,15503,15579,15683,15789,15864,15943
6037,6233,6381,6553,6787,6969,7115,7297,7485,7641,7767,7835.6,7917.6,8093,8173,8251,8357,8451,8525.3,8600.9,8867,9031,9169,9243,9325,9429,9523,9602.8,9681.3,9977,10037,10205,10279,10363,10469,10567,10645,10723,10987,11135,11329,11489,11611,11690,11775,12043,12121,12259,12333,12419,12529,12625,12704,12782,13091,13261,13403,13477,13559,13671,13759,13849,13924,14181,14351,14527,14703,14813,14906,14982,15263,15325,15485,15559,15633,15751,15853,15935,16013
