r,l,r,l,l,r,p,a,c,c,d,d,d,p,a,c,c,r,p,a,c,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c
2711.4,2851.1,3196.1,3359.6,3514.5,3713.6,3869,4007.7,4077.9,4158.2,4337.4,4407,4475,4580.9,4681.8,4759.5,4830.3,5062.5,5216.4,5369.2,5446.1,5611.2,5797.5,5942.5,6086.3,6160.4,6236.6,6429.2,6577.1,6700.4,6772.7,6843.9,6945.2,7048.8,7121.5,7199.1,7474.4,7614.6,7776.8,7848.4,7919.4,8025.4,8124.3,8200.1,8276.3,8527.7,8675.7,8811.6,8882,8951.9,9056.3,9160.7,9233.3,9312.5,9532.8,9676.4,9871.9,10018,10157,10232,10309,10490,10639,10767,10840,10912,11019,11122,11195,11274,11605,11760,11916,11988,12061,12168,12269,12345,12423,12660,12810,12943,13018,13089,13198,13301,13375,13455,13814,13968,14128,14200,14272,14376,14483,14555,14638,14854,15008,15150,15225,15297,15401,15508,15583,15661
2749.5,2970.9,3252.1,3423.8,3578.1,3768.6,3933.5,4064.6,4151.5,4227.9,4385.7,4458.6,4540.1,4641,4738.2,4802.6,4881.6,5129.3,5285.3,5420.7,5529.9,5682.6,5854.4,6017.5,6144.4,6226.8,6302.8,6560.1,6638.2,6752.7,6828,6909.5,7015.7,7107.5,7188.7,7268.6,7534.7,7684.3,7824.9,7902.5,7984.2,8091.7,8182.6,8268.6,8343.8,8655.2,8741.2,8861.4,8936.2,9019,9127.6,9219,9302.4,9381.2,9592.7,9739.1,9928.9,10097,10216,10299,10382,10622,10699,10816,10893,10978,11090,11181,11263,11342,11666,11836,11969,12045,12125,12236,12329,12414,12490,12790,12869,12996,13073,13155,13268,13361,13444,13525,13876,14046,14180,14256,14338,14448,14543,14635,14711,14986,15070,15204,15280,15362,15473,15571,15652,15731
