l,l,l,l,l,r,l,r,p,a,c,c,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,r,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,r,p,a,c,c,x,y,d,d,d,p,a,c,c
2881,3065,3227,3399,3569,3925,4099,4297,4453,4597,4668.4,4741.5,4935,4989,5059,5163,5265,5338.2,5413.5,5655,5803,5967,6041,6111,6215,6319,6392,6470.7,6721,6871,7031,7103,7173,7279,7389,7461,7538.8,7813,7973,8165,8309,8449,8521.9,8599.5,8807,8949,9081,9153,9223,9329,9433,9511,9586.8,9887,10047,10215,10287,10359,10463,10571,10647,10724,10953,11099,11247,11319,11393,11497,11603,11680,11758,12061,12217,12399,12473,12547,12661,12757,12834,12911,13559,13713,13853,14033,14177,14309,14387,14466,14669,14821,14955,15025,15099,15207,15315,15391,15470,15799,15949,16101,16184,16259,16481,16631,16775,16849,16921,17031,17135,17211,17291
2981,3139,3301,3473,3639,3979,4161,4357,4521,4651,4717.6,4799.3,4967,5043,5127,5231,5325,5400.7,5479.1,5713,5877,6019,6095,6177,6287,6379,6458.7,6538.9,6783,6945,7083,7159,7245,7353,7447,7529.1,7606.5,7887,8041,8233,8387,8509,8586.6,8670.9,8933,9011,9133,9207,9291,9401,9495,9577.3,9656.1,9949,10123,10269,10343,10427,10539,10633,10709,10794,11079,11163,11299,11375,11461,11573,11665,11748,11825,12125,12293,12453,12531,12617,12725,12821,12902,12979,13613,13775,13911,14099,14261,14379,14455,14536,14791,14885,15007,15085,15167,15279,15379,15460,15539,15861,16023,16167,16250,16332,16615,16697,16829,16903,16989,17103,17199,17278,17359
