r,l,l,l,r,p,a,c,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,w,y,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c
1982.5,2145.5,2305.8,2473.1,2715.7,2883.4,3046.5,3118.6,3384.6,3456.2,3523.8,3626.5,3730.9,3809.7,3881.8,4261.4,4407.8,4567.6,4638.6,4708.2,4814.7,4914.5,4987.6,5065.7,5315.4,5467.1,5642.6,5713.7,5783.6,5889.9,5993.7,6066.7,6145,6801.8,6956,7122.5,7193.1,7263.9,7367.7,7470,7544.6,7619.7,7841,7986.3,8120.6,8192.2,8264.3,8371.4,8472.1,8546,8623.2,9132.9,9278.6,9440.7,9513,9584,9686.1,9793.1,9866,9944.3
2017.6,2205.8,2360.6,2536.2,2771.7,2948.6,3092.3,3267.2,3431.8,3504.1,3584.3,3692.1,3791.9,3850.3,3929.7,4305.7,4481.7,4619,4690.8,4771.5,4877.7,4975.5,5051.2,5125.7,5380.3,5542.9,5693.2,5767.6,5848.7,5957.5,6056.2,6135.5,6213.5,6858.7,7027.1,7172.7,7247.8,7328.6,7433.8,7530.9,7603.6,7689.1,7964.4,8042.9,8174.7,8246.7,8330.1,8438,8534.2,8614.4,8691.4,9198.5,9360.5,9491.9,9567.2,9651.2,9759.2,9854.2,9933.4,10012
