l,l,l,l,l,l,r,l,r,p,a,c,c,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,r,p,a,c,c,x,y,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c
1771,1971,2153,2319,2511,3327,3551,3713,3883,4041,4175,4249.2,4325.4,4495,4569,4637,4747,4849,4923.7,4999.5,5265,5405,5569,5641,5713,5817,5923,5997.9,6077,6333,6477,6643,6713,6783,6889,6995,7071,7148.3,7399,7549,7689,7765,7842.1,8031,8177,8303,8377,8449,8559,8665,8741,8818.6,9043,9191,9335,9407,9479,9585,9689,9765.1,9844.7
1865,2059,2223,2395,2589,3383,3607,3775,3945,4111,4231,4299.8,4389.6,4551,4625,4705,4815,4911,4986.5,5065.4,5327,5479,5625,5699,5781,5891,5985,6066.2,6144.2,6397,6559,6695,6769,6853,6963,7057,7136,7214.1,7459,7627,7751,7831.8,7910.8,8161,8243,8361,8435,8519,8631,8729,8807.7,8888.5,9173,9255,9389,9463,9549,9659,9755,9834,9912.8
