l,l,l,l,l,l,l,l,r,p,a,c,c,d,d,d,p,a,c,c,r,p,a,c,c,w,y,d,d,d,p,a,c,c,r,p,a,c,c,l,r,p,a,c,c,x,y
9,1655,2243,2403,2567,3165,3351,3535,3703,3861,4011,4079,4155,4335,4409,4481,4583,4707,4775,4851,5111,5245,5399,5463,5543,5737,5891,6025,6099,6171,6279,6399,6467,6545,6757,6911,7057,7137,7213,7443,7627,7785,7931,8007,8083,8291,8443
43,1691,2325,2507,2659,3279,3443,3627,3781,3949,4053,4139,4217,4391,4473,4561,4665,4757,4835,4915,5169,5337,5461,5527,5609,5881,5943,6089,6167,6257,6361,6451,6529,6613,6837,6997,7115,7197,7281,7523,7709,7867,7991,8071,8147,8433,8513
