r,r,l,l,l,l,r,l,r,w,l,r,p,a,c,c,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,r,p,a,c,c,x,y,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c
1229,1651,1949,2149,2311,2487,2669,2843,3143,3323,3471,3673,3829,3973,4043,4117,4285,4359,4429,4533,4653,4721,4799,4993,5145,5279,5353,5421,5527,5635,5715,5791,6021,6167,6337,6411,6485,6589,6699,6773,6849,7079,7273,7417,7565,7633,7709,7953,8103,8221,8297,8367,8471,8591,8659,8735,9105,9259,9415,9485,9559,9745,9895,10031,10103,10175,10279,10395,10469,10545,10827,10985,11147,11223,11291,11399,11517,11591,11667,11885,12033,12173,12245,12319,12421,12541,12611,12689
1265,1687,2065,2241,2413,2575,2743,2923,3221,3399,3553,3751,3919,4017,4101,4177,4343,4419,4503,4603,4705,4781,4863,5123,5199,5339,5413,5503,5611,5701,5775,5857,6101,6267,6399,6477,6563,6667,6753,6833,6917,7151,7351,7507,7611,7695,7781,8087,8153,8283,8359,8443,8553,8639,8723,8805,9185,9347,9463,9545,9625,9877,9953,10093,10169,10255,10363,10449,10529,10615,10901,11075,11211,11289,11373,11475,11575,11651,11731,12019,12105,12235,12311,12395,12505,12597,12679,12755
