w,w,l,l,r,l,l,l,r,l,l,r,p,a,c,c,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,r,p,a,c,c,x,y,d,d,d,p,a,c,c,w,y,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c
1951.8,2164.4,2368.3,2542.4,2753.5,2938,3101,3274.1,3546.2,3706.3,3877.9,4067.9,4222.3,4354,4427.1,4507.5,4683.2,4756.2,4826.6,4935.1,5036.5,5110.2,5189.6,5431.5,5575.8,5740.7,5814.6,5886.5,5994.3,6096.4,6176.1,6251.7,6560.9,6713.1,6881.8,6955,7026.5,7133,7238.2,7313.8,7392.5,7828.2,7975.1,8119.3,8191.2,8272.7,8451.3,8607.2,8736.7,8811.3,8882.9,8987.3,9095.1,9169.9,9247.7,9449.8,9600.6,9726,9800.8,9873.6,9976.1,10086,10161,10240,10482,10628,10816,10969,11106,11183,11261,11458,11610,11738,11812,11884,11991,12099,12175,12254,12479,12627,12803,12953,13090,13165,13244,13434,13584,13713,13788,13861,13966,14073,14149,14228,14535,14689,14877,15028,15187,15263,15342,15523,15677,15804,15876,15949,16058,16163,16238,16318
2070,2292.4,2443.8,2613.4,2804.6,3008.4,3178.5,3344.4,3597.8,3770.4,3939.4,4129.5,4292.5,4413.9,4500,4581.7,4733.8,4809.4,4889.5,5001.6,5094,5186.3,5263.2,5487.9,5652.8,5792.9,5868.3,5950.7,6059,6158.3,6218.5,6302.4,6619.8,6791.7,6931.8,7007.3,7091.7,7200.6,7298.9,7380.5,7458.3,7895.2,8054.7,8179.6,8268.8,8351.1,8588.2,8667.3,8791,8865.7,8950.5,9060.8,9155.4,9238.4,9316.6,9579.9,9658.1,9779.8,9856.2,9939.9,10050,10149,10228,10306,10541,10695,10886,11048,11172,11250,11328,11590,11675,11789,11866,11953,12064,12157,12242,12321,12540,12698,12872,13036,13153,13232,13312,13569,13650,13765,13842,13927,14038,14135,14217,14298,14592,14757,14943,15107,15249,15333,15410,15657,15735,15854,15932,16016,16126,16225,16306,16386
