l,r,l,l,l,r,p,a,c,c,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c
1959,2519,2675,2861,3019,3249,3409,3553,3630.2,3701.8,3879,3951,4021,4121,4231,4300.2,4376.8,4583,4739,4883,4953,5023,5127,5231,5306,5382.6,5615,5763,5919,5993,6063,6167,6267,6343,6420.8,6651,6791,6951,7023,7093,7201,7301,7377,7454,7661,7809,7935,8007,8079,8185,8289,8363,8442.1,8713,8869,9081,9229,9369,9444.7,9521.2,9715,9863,9993,10065,10137,10241,10345,10421,10497,10733,10909,11009,11081,11151,11261,11365,11440,11518,11847,11991,12145,12219,12291,12395,12503,12577,12656,12865,13017,13147,13221,13291,13399,13505,13583,13660,13951,14099,14263,14335,14409,14513,14617,14693,14774,15013,15203,15353,15491,15570,15649,15839,15989,16121,16195,16271,16377,16477,16554,16635,16999,17147,17309,17383,17457,17567,17667,17744,17825
2093,2563,2789,2939,3091,3315,3479,3613,3682.4,3757.8,3935,4009,4089,4193,4289,4362.8,4443.5,4649,4807,4935,5011,5091,5197,5289,5372.5,5447.7,5681,5839,5975,6049,6133,6237,6329,6408.3,6487,6717,6871,7007,7083,7165,7267,7365,7442.1,7519.8,7787,7871,7993,8067,8149,8255,8353,8431.4,8509,8775,8941,9149,9309,9433,9510.6,9590,9849,9925,10049,10123,10207,10313,10409,10488,10566,10861,10943,11063,11139,11221,11333,11429,11508,11585,11911,12071,12203,12277,12363,12469,12567,12644,12721,13005,13083,13205,13281,13363,13473,13565,13647,13727,14019,14179,14319,14393,14477,14585,14683,14761,14841,15079,15277,15437,15559,15637,15717,15977,16049,16179,16255,16339,16445,16543,16623,16702,17063,17229,17369,17443,17527,17639,17733,17816,17893
