l,l,r,l,l,l,l,r,p,a,c,c,d,d,d,p,a,c,c,r,d,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,x,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c
1303,1733,1999,2133,2279,2451,2609,2823,2999,3111,3188.2,3260.3,3443,3517,3587,3703,3799,3879,3953.8,4191,4359,4493,4567,4641,4759,4849,4927,5004.2,5219,5371,5495,5571,5643,5755,5855,5932.6,6010.2,6297,6431,6621,6767,6897,6975.7,7054,7237,7391,7513,7587,7661,7767,7873,7950.4,8028.2,8973,9109,9303,9445,9577,9655.8,9732.6,9903,10055,10177,10251,10323,10431,10533,10608,10687,10891,11165,11241,11313,11427,11525,11600,11679,11901,12057,12201,12277,12351,12459,12563,12640,12718,12935,13083,13281,13425,13555,13634,13711,13891,14087,14175,14251,14323,14429,14537,14615,14694
1357,1851,2027,2207,2353,2521,2683,2893,3053,3171,3235.2,3321.3,3499,3575,3655,3767,3867,3933.1,4010.6,4255,4403,4551,4625,4709,4817,4915,4990.9,5067.5,5353,5427,5553,5629,5715,5821,5923,5996.5,6071.6,6359,6505,6689,6843,6965,7038.5,7118.1,7377,7453,7569,7649,7731,7843,7939,8019.9,8094.7,9039,9183,9365,9521,9643,9712.8,9796.7,10037,10119,10233,10311,10391,10505,10595,10672,10748,11021,11223,11301,11383,11495,11591,11664,11746,12045,12123,12261,12337,12421,12529,12631,12704,12783,12999,13161,13353,13501,13623,13697,13778,14023,14113,14233,14311,14395,14501,14601,14679,14759
