l,l,l,l,r,l,r,p,a,c,c,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,r,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,r,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c
1945,2143,2307,2485,2783,2949,3145,3299,3433,3510.4,3584,3753,3825,3895,3999,4099,4174.1,4251.8,4513,4665,4823,4895,4967,5073,5175,5248.7,5325.5,5643,5793,5961,6035,6105,6213,6317,6391.8,6469,7831,7985,8123,8321,8467,8603,8675.3,8752.4,8929,9075,9203,9277,9347,9453,9555,9629.3,9707.7,9941,10075,10259,10403,10543,10619,10696,10891,11043,11179,11253,11323,11431,11533,11608,11687,11975,12121,12327,12469,12611,12687,12766,12963,13117,13253,13329,13401,13507,13613,13688,13767,14439,14591,14763,14967,15117,15247,15323,15404,15601,15755,15885,15957,16029,16137,16241,16318,16399,16743,16887,17053,17127,17199,17309,17417,17495,17575,17811,17961,18105,18179,18251,18357,18463,18539,18618
2037,2221,2387,2563,2847,3021,3205,3367,3493,3559.6,3642.1,3807,3879,3963,4067,4163,4230.9,4316.3,4577,4743,4879,4955,5037,5145,5239,5305.6,5390.6,5707,5873,6019,6093,6173,6285,6379,6457.5,6538.5,7887,8053,8195,8385,8543,8665,8741.1,8818.2,9057,9141,9257,9333,9417,9523,9619,9695.6,9777,10003,10145,10327,10485,10605,10684,10763,11031,11109,11235,11309,11391,11501,11597,11677,11754,12035,12193,12393,12551,12673,12756,12834,13101,13181,13309,13383,13471,13579,13675,13757,13836,14489,14665,14839,15039,15193,15309,15390,15470,15739,15819,15943,16015,16099,16209,16305,16387,16466,16807,16967,17109,17185,17271,17383,17483,17565,17645,17949,18031,18161,18239,18321,18431,18525,18608,18688
