l,l,l,r,l,l,r,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,r,p,a,c,c,x,y,d,d,d,p,a,c,c,r,p,a,c,c,x,y,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c
163,329,489,1433,1591,1751,1967,2127,2277,2483,2637,2775,2845,2921,3131,3281,3403,3479,3551,3657,3777,3847,3921,4155,4317,4477,4549,4625,4851,5001,5137,5211,5279,5391,5507,5581,5655,6009,6167,6325,6397,6473,6687,6837,6967,7041,7115,7223,7335,7411,7485,7725,7861,8043,8193,8337,8413,8489,8687,8843,8981,9053,9125,9231,9345,9421,9497
207,417,577,1497,1667,1829,2037,2209,2359,2561,2719,2821,2903,2987,3261,3345,3467,3543,3629,3737,3829,3903,3987,4227,4409,4531,4611,4691,4991,5073,5201,5275,5357,5471,5565,5639,5723,6087,6255,6379,6459,6555,6831,6905,7031,7107,7195,7299,7395,7471,7553,7793,7933,8123,8281,8397,8473,8555,8833,8915,9043,9119,9203,9313,9407,9483,9565
