r,l,r,l,l,l,r,p,a,c,c,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c
1979.1,2151.6,2544.8,2711.2,2891.7,3056.1,3282.7,3447.9,3601.3,3672.1,3761.3,3957.2,4033.3,4102.8,4210.5,4313.9,4394.1,4469.6,4789.8,4942.3,5111.1,5183.4,5256,5355.5,5478.6,5547,5621.5,5864.9,6025.6,6197.4,6270.4,6343,6448.6,6569.3,6634.7,6713.6
2036.7,2226.7,2609.5,2778.8,2969.3,3135.7,3363.3,3529.1,3669,3743.8,3835.3,4017.3,4093.1,4179.6,4281.6,4381.5,4438.6,4522.1,4860.8,5023,5173.1,5241.2,5337.8,5435.4,5517.5,5591.9,5671.1,5942.8,6121.8,6252.4,6332.4,6412.9,6522.5,6621,6695.1,6784.1
