l,l,l,l,l,r,l,l,l,r,p,a,c,c,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,r,p,a,c,c,x,y,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c
1971.9,2105.7,2279.2,2437.2,2606.4,3430.5,3575.5,3728.8,3880.6,4066.5,4210,4344.3,4417.7,4496.8,4671.6,4743.9,4814.1,4917.1,5024.2,5103.2,5177.9,5414.3,5566,5729.5,5803.7,5875.1,5984.6,6085.7,6160.1,6241.3,6482.8,6630.6,6782.1,6878.9,6936.8,7136,7290.7,7416.2,7488.5,7561.7,7672.3,7774.5,7846.2,7928.9,8350.8,8499.6,8665.2,8738.1,8811.5,8922,9025.8,9098.6,9181.9,9427.6,9608.3,9751.8,9890.5,9966.4,10047,10268,10421,10551,10624,10697,10803,10913,10985,11069,11352,11494,11692,11840,11982,12059,12138,12342,12498,12630,12704,12777,12886,12991,13069,13148,13409,13554,13781,13931,14071,14148,14229,14453,14609,14742,14817,14892,15006,15112,15191,15271
2013.4,2169.4,2337.4,2502.4,2674.3,3461.8,3634.2,3788.8,3947.8,4123.2,4282.9,4401.2,4488.5,4567.1,4721.1,4793.1,4878.7,4985.7,5084.9,5146.1,5226.5,5470.1,5637.2,5777.8,5852.8,5937,6043.9,6146.8,6237.4,6313.1,6542.6,6703.8,6844.2,6905.1,6988.8,7264,7345.9,7467.7,7544,7629.2,7737.1,7834.3,7925.2,8000.7,8410.8,8574,8717.7,8793.2,8879.1,8987.5,9085.2,9176.2,9257,9485.7,9668.1,9827.8,9952,10034,10118,10401,10480,10600,10679,10762,10875,10973,11065,11147,11405,11559,11751,11915,12045,12124,12209,12479,12555,12682,12757,12842,12955,13052,13136,13213,13468,13619,13843,14009,14135,14222,14301,14590,14667,14795,14875,14961,15076,15175,15262,15341
