l,l,l,l,l,l,r,l,l,r,p,a,c,c,d,d,d,p,a,c,c,r,p,a,c,c,x,y,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,l,r,p,a,c,c,w,y,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c
2772.8,2933.4,3101.4,3253.3,3412.4,3575.6,3869.5,4032,4186.7,4436.4,4603.5,4754.2,4832.7,4906,5111.7,5184.1,5253.9,5364.5,5463.8,5536.6,5617,5857.5,6005,6159.7,6235.7,6311.9,6506.4,6658.7,6783.1,6856.4,6928.6,7036.9,7140.8,7212.3,7292.1,7563.6,7713,7872.8,7946.3,8019.2,8129.2,8233.2,8306.4,8390.3,8627.1,8809,8954.2,9096.8,9169.1,9251,9443.5,9594.8,9720.8,9793.9,9865.3,9974.3,10078,10153,10231,10442,10594,10728,10800,10873,10979,11083,11155,11238,11511,11668,11837,11910,11983,12085,12194,12270,12350,12580,12732,12865,12939,13011,13121,13224,13299,13379
2838.8,2994.7,3167.2,3317.5,3472.4,3628.9,3912.2,4092.7,4250.2,4493.2,4675.2,4811.9,4877,4958.4,5161.1,5236.4,5318.8,5427.3,5522.7,5612.9,5693.5,5914.6,6079.7,6220.8,6307.8,6382.8,6634.8,6715.4,6834.3,6909.2,6994.7,7102.6,7198.9,7287,7369.1,7624.8,7786.3,7924.5,7999,8083.8,8193.5,8295.3,8384.4,8463.5,8684.3,8869.7,9028.1,9159.1,9247.7,9326.5,9574.1,9657.7,9772.1,9848.2,9929.9,10043,10137,10219,10301,10578,10655,10777,10856,10939,11047,11144,11235,11314,11581,11745,11891,11967,12050,12156,12257,12343,12414,12708,12791,12916,12991,13077,13184,13290,13369,13446
