l,l,l,l,l,l,l,l,w,w,r,l,l,l,r,p,a,c,c,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,x,y,d,d,p,a,c,c,r,p,a,c,c,x,y,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c,l
1127,1815,1969,2189,2445,2729,3159,3301,3495,3675,4007,4179,4347,4521,4765,4931,5093,5159,5235,5429,5505,5577,5681,5805,5871,5947,6195,6349,6523,6599,6671,6775,6893,6965,7041,7317,7473,7643,7721,7789,7895,8013,8083,8161,8497,8657,8823,8899,8975,9077,9201,9269,9347,9673,9819,10013,10169,10321,10391,10467,10669,10823,10959,11031,11103,11211,11333,11401,11479,11709,11865,12005,12079,12261,12383,12457,12535,12907,13055,13215,13283,13359,13601,13759,13903,13981,14053,14159,14281,14349,14427,14669,14831,14989,15065,15143,15249,15369,15439,15517,15987
1193,1867,2095,2295,2479,2827,3239,3407,3605,3773,4087,4269,4431,4615,4853,5021,5139,5217,5323,5493,5569,5661,5769,5853,5931,6023,6267,6449,6587,6661,6753,6859,6947,7027,7107,7401,7569,7709,7785,7875,7979,8071,8153,8231,8579,8755,8889,8965,9053,9165,9251,9335,9413,9737,9897,10093,10263,10375,10459,10533,10815,10879,11025,11097,11189,11297,11383,11469,11551,11855,11925,12071,12237,12349,12443,12525,12623,12987,13153,13265,13349,13445,13749,13835,13971,14047,14141,14245,14333,14413,14495,14817,14889,15059,15121,15227,15333,15423,15509,15593,16033
