p,r,l,l,r,p,a,c,c,w,r,p,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c
73,1991,2147,2307,2571,2725,2863,2940.3,3017.3,3229,3651,3803,3971,4045,4115,4221,4323,4399,4474.4,4663,4815,4949,5021,5095,5199,5305,5380.6,5459.3,5687,5815,6007,6159,6301,6377,6455.8,6635,6789,6919,6993,7067,7171,7275,7351.1,7430.7,7665,7809,7993,8135,8271,8349.9,8427.8,8613,8917,8991,9061,9167,9273,9351,9429,9725,9875,10069,10215,10355,10433,10510,10689,10841,10973,11047,11119,11225,11329,11405,11485
151,2055,2223,2385,2641,2797,2927,2996.7,3076.6,3351,3717,3879,4025,4099,4183,4289,4387,4464.1,4540.4,4797,4877,5003,5077,5159,5273,5369,5449.1,5526.6,5747,5885,6077,6237,6363,6442.1,6522.4,6775,6853,6975,7047,7135,7243,7339,7417.4,7496.2,7729,7883,8063,8221,8339,8415.3,8493.6,8749,8973,9049,9131,9241,9335,9418.1,9496.7,9789,9951,10137,10293,10419,10500,10579,10829,10907,11031,11105,11189,11299,11395,11473,11553
