l,l,l,l,l,l,l,l,r,l,r,p,a,c,c,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,r,p,a,c,c,x,y,d,d,d,p,a,c,c
3125,3339,3893,4045,4245,4415,4571,4727,4985,5167,5375,5539,5687,5755,5833,6015,6089,6161,6265,6383,6455,6533,6767,6917,7083,7157,7229,7333,7453,7523,7599,7813,7967,8095,8171,8243,8349,8471,8543,8619,8869,9039,9185,9335,9405,9481,9673,9821,9953,10025,10099,10205,10323,10393,10471,10707,10891,11033,11183,11253,11329,11513,11665,11789,11863,11933,12039,12149,12227,12305,12531,12721,12869,13017,13085,13161,13359,13511,13649,13723,13795,13903,14019,14091,14167,14503,14657,14815,14885,14963,15171,15329,15463,15535,15611,15717,15829,15909,15987
3273,3439,3959,4147,4347,4501,4653,4811,5061,5241,5453,5621,5735,5809,5897,6075,6153,6237,6343,6439,6517,6597,6847,7009,7147,7223,7305,7407,7507,7583,7665,7951,8037,8159,8235,8319,8431,8523,8599,8689,8937,9119,9277,9387,9465,9547,9809,9891,10015,10091,10173,10285,10375,10455,10533,10773,10967,11125,11237,11317,11397,11649,11731,11851,11925,12013,12123,12211,12289,12373,12605,12799,12959,13065,13145,13247,13501,13587,13711,13787,13873,13985,14071,14149,14231,14577,14749,14869,14949,15035,15319,15401,15525,15601,15683,15801,15893,15975,16071
