l,r,l,l,l,l,l,l,l,r,l,l,r,p,a,c,c,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,l,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c
7,261,417,631,1693,1989,2197,2375,2539,2699,2861,3009,3209,3361,3499,3567,3641,3813,3885,3953,4055,4169,4235,4311,4531,4679,4841,4913,4983,5089,5203,5271,5345,5561,5691,5867,6013,6159,6227,6301,6479,6627,6755,6827,6897,7001,7115,7185,7259,7505,7647,7843,7985,8137,8207,8281,8475,8623,8751,8825,8895,9001,9121,9187,9263,9495,9633,9829,9983,10129,10201,10275,10467,10615,10743,10815,10887,10989,11105,11177,11251,11463,11515,11655,11899,12049,12207,12275,12351,12545,12693,12831,12905,12977,13079,13197,13265,13343
95,325,553,725,1721,2123,2289,2471,2627,2767,2939,3089,3287,3441,3541,3619,3715,3869,3945,4025,4131,4219,4293,4375,4605,4767,4901,4977,5055,5167,5255,5329,5409,5631,5769,5949,6097,6207,6279,6377,6617,6695,6817,6889,6973,7079,7167,7245,7325,7575,7725,7917,8073,8191,8277,8343,8617,8687,8813,8887,8969,9083,9175,9249,9327,9563,9703,9909,10073,10183,10257,10339,10601,10677,10803,10879,10963,11071,11157,11237,11315,11513,11581,11731,11975,12139,12259,12335,12419,12689,12767,12893,12969,13053,13163,13243,13327,13411
