l,l,l,l,l,r,l,l,l,r,p,a,c,c,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,r,p,d,d,d,p,a,c,c
1783.7,1979.2,2149.3,2326.6,2505.7,3000.5,3149.7,3307.2,3455.9,3653,3813.5,3960.5,4025.8,4104.8,4285.9,4359,4430.6,4538.7,4652.4,4716.4,4797.4,5044.7,5196.6,5354.6,5428.1,5501.6,5609.7,5711.5,5785.2,5864.9,6088,6277.3,6431.2,6575.9,6649.5,6729.5,6916.8,7063,7193,7265.1,7337.5,7448.4,7552.2,7627.3,7707.3,7945.4,8103.9,8291,8432.6,8573.8,8647.3,8729.7,8932.2,9084.9,9228.3,9301,9372.2,9481,9587.1,9660.6,10130,10288,10449,10523,10595,10707,10814,10886,10970
1841.7,2049.2,2225.3,2394.4,2563.9,3032.3,3214.4,3366.5,3514.3,3700,3883.9,4010.4,4095.5,4172.7,4336,4411.8,4494.5,4598.9,4701.9,4789.3,4870,5105.7,5265.4,5404.2,5484.1,5565.2,5672.7,5773,5860.9,5937.4,6144.5,6325,6501.7,6636.7,6722.5,6801.5,7037.8,7122.1,7242.6,7319.8,7403.5,7505.2,7613.8,7704.2,7779.2,7999.5,8167.2,8349.6,8507.5,8634.8,8725.6,8802.6,9058.8,9143.6,9277.8,9356.3,9437.8,9546.9,9649.2,9817.9,10193,10366,10501,10577,10663,10775,10873,10966,11046
