l,l,l,l,l,l,r,l,l,r,w,l,r,p,a,c,c,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,l,l,r,p,a,c,c
431,1025,1207,1717,1943,2143,2325,2501,2669,2981,3153,3309,3503,3665,3807,3871,3953,4141,4213,4285,4391,4509,4577,4655,4889,5043,5209,5283,5355,5463,5581,5651,5727,5947,6083,6263,6417,6565,6635,6709,6895,7047,7183,7255,7327,7433,7553,7621,7697,7921,8135,8295,8455,8521,8597,8791,8950.9,9063,9139,9209,9317,9431,9503,9579,9807,9983,10137,10287,10357,10433,10633,10785,10925,10999,11069,11175,11293,11367,11443,11689,11833,12035,12185,12357,12425,12503
465,1109,1277,1875,2029,2239,2399,2579,2751,3061,3231,3385,3585,3745,3855,3935,4017,4201,4279,4363,4473,4563,4641,4721,4963,5135,5271,5347,5431,5539,5637,5713,5793,6015,6157,6339,6507,6617,6693,6777,7043,7119,7247,7323,7405,7513,7601,7685,7769,7993,8215,8385,8501,8581,8685,8931.8,9009,9127,9203,9293,9393,9489,9565,9645,9865,10061,10231,10341,10423,10499,10777,10855,10987,11063,11151,11261,11349,11429,11515,11763,11913,12113,12285,12409,12495,12569
