r,l,r,l,l,r,r,l,r,l,l,l,r,l,r,p,a,l,r,p,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,x,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c
657,791,1239,1847,1979,2451,2665,2859,3143,3351,3509,3729,4423,4595,4847,5025,5221,5323,5539,5697,5867,5945,6017,6125,6245,6315,6391,6701,6875,7053,7131,7203,7309,7423,7497,7575,7999,8173,8345,8421,8493,8603,8717,8793,8869,9401,9571,9743,9819,9889,9999,10117,10187,10263,10509,10667,10841,10913,10987,11095,11221,11283,11367,11515,11639,11929,12083,12253,12331,12407,12613,12767,12949,13025,13097,13207,13331,13399,13477
711,919,1309,1911,2081,2543,2747,2961,3225,3433,3609,3829,4501,4679,4929,5117,5253,5407,5605,5777,5935,6013,6101,6203,6297,6381,6463,6769,6967,7119,7197,7293,7395,7483,7565,7647,8081,8267,8409,8489,8583,8685,8777,8853,8937,9475,9665,9809,9885,9981,10077,10171,10251,10331,10583,10763,10905,10985,11089,11185,11269,11353,11441,11547,11709,12007,12183,12321,12397,12479,12763,12841,13017,13093,13179,13289,13381,13467,13555
