l,r,l,l,l,r,p,a,c,c,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c,r,p,a,c,c,x,y,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c
1575,1965,2133,2279,2459,2689,2851,2987,3063.4,3137.3,3311,3381,3453,3559,3665,3736.5,3812.3,4037,4185,4345,4419,4491,4595,4701,4775.8,4853.1,5101,5235,5425,5569,5709,5777.7,5856.1,6033,6183,6311,6387,6457,6561,6669,6745.1,6821.3,7029,7179,7317,7389,7463,7575,7675,7751,7827.7,8127,8271,8419,8495.1,8571.9,8759,8913,9045,9121,9193,9303,9407,9483.2,9561.3,9793,9927,10121,10271,10409,10485,10564,10771,10927,11107,11181,11253,11357,11461,11539,11618
1683,2027,2205,2357,2533,2733,2921,3049,3115.5,3199.2,3363,3439,3521,3631,3725,3797.2,3873.9,4103,4263,4401,4477,4559,4667,4765,4837.3,4914.5,5169,5313,5487,5647,5769,5841.3,5923.3,6167,6245,6369,6445,6527,6637,6735,6808.2,6884.8,7161,7241,7373,7451,7535,7641,7739,7813.2,7893.4,8191,8351,8483,8551.4,8637.6,8901,8977,9109,9179,9267,9377,9473,9543.3,9624.6,9857,10003,10193,10353,10477,10546,10635,10913,10991,11165,11239,11325,11431,11527,11603,11686
