l,l,l,l,l,r,l,l,r,p,a,c,c,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,r,p,a,c,c,x,y,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c
1985,2299,2471,2651,2851,3485,3637,3793,4009,4165,4301,4379.6,4451.4,4621,4691,4761,4869,4971,5045,5122,5367,5517,5677,5749,5819,5927,6027,6102.8,6179.5,6413,6567,6729,6803,6873,6981,7083,7159,7236.8,7497,7643,7809,7883,7953,8061,8165,8240.8,8319.8,8543,8685,8813,8883,8955,9059,9163,9239.3,9318.7,9605,9763,9987,10137,10273,10348,10426,10617,10769,10907,10979,11051,11157,11263,11340,11419,11845,11993,12153,12230,12309,12497,12651,12785,12859,12933,13039,13145,13221,13300,13559,13719,13915,14059,14195,14272,14351,14551,14703,14875,14947,15019,15129,15233,15315,15389
2087,2383,2569,2737,2945,3527,3717,3873,4057,4231,4363,4430.5,4514.4,4673,4747,4827,4935,5035,5109.6,5187.2,5435,5599,5731,5805,5889,5991,6091,6168.2,6247.4,6483,6647,6787,6861,6941,7047,7147,7221.9,7302.3,7559,7725,7865,7939,8023,8129,8229,8307.4,8384.4,8671,8751,8869,8943,9025,9131,9229,9313.8,9388,9671,9839,10053,10215,10339,10416,10496,10753,10835,10959,11037,11123,11231,11329,11406,11486,11917,12077,12217,12299,12383,12633,12711,12843,12917,13001,13115,13207,13290,13369,13623,13791,13975,14143,14263,14341,14424,14679,14769,14931,15007,15091,15199,15299,15378,15459
