l,l,l,l,l,l,l,r,l,l,l,r,p,a,c,c,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c
1938,2157.9,2326.4,2501.2,2659.3,2819.8,3000.8,3386.3,3549.8,3710.8,3884.9,4081.4,4224.3,4372.3,4443.1,4515.6,4693.1,4765.5,4836.3,4944.4,5045.6,5119.7,5198.8,5425.7,5572.1,5729.9,5803.1,5875.7,5983.2,6084.6,6159.5,6236.2,6497.6,6644.2,6808,6882.2,6953.8,7063,7165.1,7240.7,7320.4,7518.5,7668.1,7803.3,7878.3,7952,8062.4,8167.3,8245,8322.7,8534.5,8686.9,8815.9,8889.6,8961.7,9068.1,9175.4,9250.6,9329.4,9562.2,9703.8,9886.3,10028,10163,10238,10318,10505,10660,10799,10873,10945,11054,11158,11234,11314,11668,11819,11975,12049,12123,12230,12338,12413,12492,12689,12838,12979,13042,13116,13229,13335,13412,13490,13795,13951,14156,14301,14441,14516,14596,14792,14946,15083,15160,15233,15340,15449,15522,15605,15880,16033,16234,16394,16536,16616,16698,16896,17051,17186,17261,17335,17441,17553,17626
2062.7,2237.2,2410,2576.4,2728.2,2900.8,3063.7,3446.2,3617.8,3773.4,3954.9,4140.9,4297.9,4421.5,4483.9,4568.3,4746.3,4817.4,4898,5008.2,5107.2,5185.1,5262.8,5485.3,5650.8,5780.5,5860.7,5938.9,6049.4,6148.3,6228.3,6301.3,6558.8,6723.7,6860.2,6936,7020.7,7130.7,7228.7,7311.2,7382.8,7647.3,7725.2,7857.2,7933.4,8019.8,8131.2,8229.2,8315.6,8389.7,8668.8,8748.3,8870.4,8944.8,9030,9139.8,9236.8,9321.5,9390.5,9620.9,9770.3,9953.3,10107,10224,10309,10386,10636,10720,10853,10927,11010,11122,11223,11300,11377,11734,11897,12031,12105,12191,12303,12399,12483,12561,12822,12904,13024,13099,13184,13301,13401,13482,13560,13857,14023,14219,14382,14506,14589,14662,14928,15008,15138,15219,15301,15414,15513,15602,15678,15938,16104,16302,16473,16605,16686,16766,17038,17117,17243,17318,17403,17516,17615,17790
