l,l,l,l,l,l,l,r,l,r,l,l,r,p,a,c,c,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c
1963,2193,2353,2509,2669,2835,3009,3517,3677,3897,4069,4233,4425,4573,4709,4786.3,4863.3,5053,5125,5195,5299,5407,5483,5560.3,5815,5963,6121,6195,6267,6375,6481,6557.3,6634.4,6871,7017,7183,7255,7329,7435,7537,7615,7694.1,7909,8059,8187,8261,8331,8443,8545,8621.1,8700.7,8965,9097,9279,9423,9567,9644.7,9723,9905,10057,10181,10255,10327,10431,10537,10618,10692,10941,11151,11293,11427,11506,11583,11769,11923,12043,12117,12189,12299,12401,12479,12560
2029,2279,2435,2593,2749,2919,3083,3579,3751,3967,4147,4293,4495,4651,4775,4846.8,4925.7,5107,5183,5265,5375,5463,5547.4,5625.9,5877,6043,6177,6253,6337,6449,6537,6619.3,6697.4,6935,7093,7243,7319,7397,7507,7595,7678.8,7759.4,8047,8125,8245,8317,8401,8513,8611,8690.3,8766.3,9027,9173,9335,9505,9635,9711.1,9791.2,10039,10125,10237,10313,10391,10505,10603,10681,10760,11007,11215,11373,11495,11563,11649,11911,11983,12099,12177,12259,12365,12469,12547,12625
