l,l,l,r,l,l,r,r,p,a,c,c,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,r,p,a,c,c,x,y,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c
1943,2119,2341,2547,2715,2867,3105,3317,3467,3615,3690.9,3762.3,3951,4023,4091,4199,4299,4373.8,4452,4717,4861,5027,5099,5169,5275,5379,5453,5530.6,5783,5925,6089,6161,6235,6343,6447,6522,6602.2,6839,6985,7177,7323,7453,7529.2,7607.9,7833,7977,8111,8183,8257,8361,8467,8544.2,8622,8877,9029,9191,9266.4,9344.4,9545,9695,9827,9899,9971,10077,10179,10255,10334,10611,10763,10927,11003,11077,11183,11285,11361,11442,11941,12093,12251,12321,12397,12503,12611,12687,12766,13013,13177,13383,13525,13669,13747,13825,14033,14185,14319,14393,14465,14573,14675,14751,14830
2027,2243,2419,2605,2779,2939,3169,3373,3537,3675,3741.9,3826.4,4005,4077,4159,4265,4363,4436.9,4517.5,4785,4935,5083,5157,5237,5347,5443,5518.9,5598.4,5847,6001,6147,6219,6303,6413,6509,6590.7,6669.8,6907,7063,7243,7399,7519,7595.6,7677.2,7963,8043,8167,8243,8327,8435,8533,8610.5,8687.8,8949,9111,9255,9333,9416.9,9683,9759,9885,9959,10039,10149,10235,10321,10402,10677,10843,10985,11063,11149,11255,11349,11431,11510,12003,12165,12309,12381,12469,12579,12677,12752,12832,13077,13251,13449,13611,13735,13813,13894,14171,14249,14377,14451,14537,14647,14741,14822,14901
