l,l,l,l,l,l,l,l,r,l,l,r,p,a,c,c,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,r,p,a,c,c,x,y,d,d,d,r,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,l,r,p,a,c,c,x,y
305,581,1401,1801,1983,2169,2383,2569,3471,3637,3801,4011,4179,4327,4397,4473,4659,4759,4807,4911,5027,5099,5175,5397,5545,5705,5779,5849,5957,6069,6145,6217,6453,6601,6777,6845,6921,7135,7289,7427,7501,7571.5,8021,8175,8331,8537,8687,8839,8907,8983,9167,9321,9445,9521,9594.2,9697,9815,9873,9959,10201,10353,10511,10587,10657,10765,10885,10951,11031,11299,11477,11629,11801,11851,11925,12129,12283
359,673,1463,1881,2097,2279,2483,2663,3549,3725,3887,4093,4279,4379,4467,4539,4725,4799,4889,4993,5081,5165,5243,5487,5637,5769,5843,5927,6039,6127,6203,6285,6517,6693,6833,6907,6989,7277,7343,7493,7557.7,7651,8095,8259,8429,8617,8777,8887,8965,9049,9307,9397,9507,9584,9687,9783,9863,9949,10027,10281,10435,10581,10655,10755,10853,10943,11019,11101,11371,11557,11727,11833,11919,12001,12281,12353
