r,l,l,l,r,p,a,c,c,d,d,d,p,a,c,c,r,p,d,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c,r,p,a,c,c,x,y,d,d,d,p,a,c,c,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c
1991,2130.8,2280.5,2478,2722.7,2892.9,3037.5,3108.8,3190.4,3374.8,3450.1,3523,3628.1,3734.9,3816.3,3890.4,4145.9,4292.4,4455.8,4563.2,4758.8,4910.3,5052.3,5126.7,5203.6,5390.3,5541.2,5677.2,5750.8,5822.5,5927.7,6035.9,6110.3,6189.2,6528.1,6680.7,6844.3,6916.3,6987.8,7092.7,7199.6,7273.5,7353.8,7576.8,7724.9,7863.5,7937.4,8008.7,8117.1,8223.3,8298.6,8377.6,8595.4,8747,8877.4,8951,9025.7,9132,9241.9,9313.5,9397.8,9666.1,9816.6,9978.1,10056,10134,10332,10486,10627,10700,10773,10877,10986,11060,11140,11448,11623,11774,11926,12004,12081,12276,12430,12558,12632,12705,12810,12919,12990,13074
2044.1,2212.7,2358.3,2561.9,2790.7,2969.3,3098.3,3185.6,3265.5,3427.9,3504.5,3587.6,3698,3799.8,3859.2,3942.8,4209.8,4371.1,4514.9,4640.3,4829.9,4989.9,5110.9,5195.9,5274.1,5524.9,5601.2,5730,5805.1,5889.1,5999,6098.3,6179.3,6257.2,6598.6,6759.6,6895.2,6974.2,7052.4,7164.8,7261.3,7347.1,7421.5,7704.5,7792.3,7914.3,7993.2,8075,8185.2,8284.4,8368.8,8446.2,8731.6,8812,8931,9006.6,9092.2,9203.5,9305,9394.5,9469.1,9732.9,9897.5,10042,10126,10205,10465,10550,10676,10756,10842,10952,11051,11132,11211,11505,11689,11852,11990,12073,12152,12410,12489,12614,12688,12775,12884,12982,13070,13147
