l,l,l,l,r,p,a,c,c,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,x,y,d,d,d,p,a,c,c,l,l,r,p,a,c,x,y,d,d,d,p,a,c,c
1500.2,2132.3,2336.9,2516.5,2785.1,2940.9,3094.6,3154.9,3233.8,3421.2,3493.2,3562.1,3666.8,3766.3,3835.2,3913.5,4157.4,4304.8,4464.3,4535.1,4603.4,4709.3,4807.8,4877.5,4957.6,5197.7,5347.2,5504.5,5576,5647.7,5752.1,5852.9,5931.7,6005.4,6276.9,6427.6,6587.2,6659.1,6729.8,6834.2,6936,7007.9,7321.6,7464.2,7609.5,7680.8,7751.2,7856.7,7961.9,8035.6,8113.3,8406.5,8553.3,8761.3,8909.4,9050.4,9121.4,9418.9,9569.3,9705.2,9777.5,9850.3,9958.9,10062,10136,10215
1537.9,2188.9,2408.7,2582.2,2836.9,3009,3144,3225.9,3304.2,3468.7,3546.5,3625.7,3727.8,3827.1,3907.7,3986.2,4214.1,4379.5,4514.5,4587.5,4666.6,4773.2,4868.8,4954.4,5034.2,5255.6,5422,5556.4,5629,5710.9,5819,5913.7,5980.1,6053.8,6333.5,6501.6,6641.6,6711.7,6794.4,6899.8,6994,7159.5,7438,7519,7661.1,7733,7816.1,7923.3,8025.4,8107.2,8189.8,8450,8616.7,8820.9,8983.2,9111.8,9272.5,9544.1,9619.8,9756.3,9833.2,9916.2,10029,10121,10204,10282
