l,r,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,r,p,a,c,c,x,y,d,d,d,p,a,c,c,r,r,p,a,c,c,x,y,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,l,r,p,d,d,d,p,a,l
1621,1827,1975,2133,2319,2471,2627,2695,2771,2955,3101,3225,3299,3369,3477,3595,3665,3743,3959,4111,4277,4351,4421,4527,4645,4715,4795,5259,5411,5555,5631,5707,5897,6049,6191,6263,6337,6443,6563,6635,6711,6849,7087,7239,7387,7469,7547,7735,7889,8019,8097,8169,8279,8393,8465,8541,8795,8955,9145,9301,9467,9539,9617,9815,9965,10101,10179,10251,10357,10477,10549,10625,10901,11091,11245,11413,11487,11563,11671,11803,11951
1743,1891,2079,2219,2395,2557,2671,2753,2837,3091,3175,3283,3363,3443,3555,3649,3727,3805,4037,4197,4341,4415,4499,4609,4699,4775,4859,5335,5499,5617,5693,5775,6037,6121,6249,6329,6415,6525,6619,6695,6779,6931,7161,7331,7451,7533,7613,7877,7959,8085,8161,8245,8351,8451,8531,8611,8867,9033,9223,9393,9529,9595,9681,9961,10039,10167,10243,10333,10441,10533,10613,10693,10971,11165,11331,11479,11555,11641,11755,11829,12023
