l,l,l,l,l,l,l,r,l,l,r,p,a,c,c,w,y,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c,r,p,a,c,c,x,y,d,d,d,p,a,c,c
1822.8,1978.6,2138.2,2291.2,2456.5,2621.3,2777.3,3035.4,3215.7,3395.2,3653.4,3808.8,3940.2,4021.4,4095.4,4303.3,4460.9,4583.9,4657.3,4729,4834.8,4943.5,5020.3,5097.8,5341.9,5496,5658.6,5733.4,5805.6,5916.1,6021.2,6092.2,6174.7,6470.8,6605.2,6802.9,6948,7091.3,7164.4,7247.8,7442.2,7594.8,7724.7,7798.5,7871.1,7981,8083.9,8158.3,8238.5,8461.6,8613.1,8737.6,8810.8,8882.8,8987.4,9097.2,9174.4,9253.2,9507.4,9653.5,9813,9891.3,9970.4,10175,10330,10473,10549,10623,10729,10839,10910,10995
1883.1,2057.5,2210.3,2363,2529.1,2700.2,2854.8,3098.7,3287.4,3465.5,3713.3,3883,3998.8,4064.3,4145.8,4438.1,4523.3,4637.2,4710.6,4793.6,4905.1,5004.8,5087.3,5168.3,5403,5570.8,5708.5,5786.2,5871.9,5983.8,6082.5,6171.4,6255.3,6525.6,6675.3,6866.3,7030.3,7154.9,7243.6,7322.3,7576.5,7656.2,7775.8,7852.7,7937.3,8047.8,8146.5,8230.6,8308.1,8591.8,8677.3,8791.6,8865.1,8948.4,9059.4,9162.7,9245.8,9323.2,9574.6,9735.8,9877.8,9962.4,10041,10316,10397,10527,10605,10692,10801,10901,10986,11076
