l,l,l,l,l,l,l,r,l,l,r,p,a,c,c,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y
2119,2267,2519,2705,2865,3011,3171,3421,3587,3729,3923,4077,4207,4286.8,4359.3,4529,4601,4673,4773,4879,4955,5028.7,5253,5401,5559,5629,5699,5805,5907,5981,6058.3,6289,6433,6595,6667,6737,6845,6945,7020.5,7097.5,7327,7461,7661,7803,7939,8013,8089.4,8309,8459
2157,2389,2623,2785,2933,3097,3247,3489,3661,3803,3991,4155,4269,4339.2,4423.9,4583,4659,4743,4847,4939,5017.4,5098.1,5321,5475,5613,5687,5769,5877,5971,6045.6,6121.3,6355,6513,6651,6725,6805,6913,7009,7086.3,7164.4,7391,7537,7733,7885,8003,8080.3,8157.9,8447,8521
