l,r,l,l,l,r,l,l,r,p,a,c,c,d,d,d,p,a,c,c,r,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c
321,1967,2121,2297,2481,2925,3095,3261,3477,3619,3757,3837.3,3911.2,4101,4173,4245,4365,4453,4528.4,4606.7,5209,5367,5509,5703,5851,5991,6066,6143.5,6347,6489,6619,6689,6763,6873,6975,7049.6,7128.1,7403,7547,7753,7909,8069,8147.4,8222.2,8429,8579,8729,8801,8875,8983,9089,9164.4,9243
393,2027,2217,2373,2551,2995,3175,3341,3527,3695,3823,3890.7,3971.7,4155,4231,4311,4423,4517,4594.5,4672.3,5275,5441,5585,5775,5935,6055,6131.3,6212.2,6473,6547,6667,6745,6831,6941,7037,7118.8,7199.1,7461,7617,7821,7989,8127,8211.8,8292.2,8561,8645,8785,8861,8945,9053,9151,9230.7,9311
