l,l,l,l,l,l,r,r,l,l,r,p,a,c,c,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,l,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,l
1117,1709,1943,2111,2279,2433,2625,3111,3263,3413,3603,3753,3893,3961,4035,4205,4277,4349,4449,4567,4635,4709,4923,5071,5229,5301,5371,5471,5591,5657,5731,5969,6121,6277,6347,6417,6519,6637,6705,6779,7019,7177,7341,7415,7485,7587,7705,7773,7849,8051,8199,8333,8409,8479,8583,8697,8769,8843,9051,9203,9327,9401,9473,9577,9691,9761,9837,10071,10259,10379,10559,10629,10705,10897,11049,11187,11259,11331,11437,11549,11623,11697,11813,11957,12099,12305,12461,12609,12679,12753,12949,13101,13233,13309,13383,13483,13603,13673,13749,14273
1213,1867,2031,2195,2357,2513,2693,3175,3339,3489,3675,3831,3941,4017,4097,4263,4339,4423,4525,4613,4695,4771,5003,5159,5287,5365,5447,5547,5639,5719,5795,6043,6205,6339,6413,6491,6599,6693,6761,6843,7095,7259,7403,7477,7559,7667,7761,7829,7913,8191,8263,8395,8471,8557,8661,8753,8829,8907,9185,9263,9391,9463,9547,9657,9743,9821,9907,10137,10333,10491,10613,10689,10785,11037,11113,11249,11325,11407,11515,11605,11681,11761,11863,12021,12169,12383,12547,12663,12739,12815,13097,13169,13297,13373,13457,13567,13655,13735,13819,14303
