l,l,l,l,r,l,r,p,a,c,c,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c
1947,2131,2317,2483,2655,2823,3057,3219,3377,3449,3527,3715,3789,3861,3967,4069,4146.6,4224.9,4531,4679,4847,4921,4991,5099,5205,5279.2,5359,5565,5715,5851,5925,5999,6109,6213,6288.1,6365.6,6621,6759,6941,7089,7223,7301,7378.4,7585,7735,7869,7945,8019,8127,8237,8313,8392.5
2039,2223,2393,2559,2715,2905,3121,3295,3435,3519,3597,3771,3847,3929,4035,4135,4204.6,4286.2,4599,4759,4903,4979,5063,5171,5267,5346.9,5425.5,5697,5783,5907,5985,6073,6179,6277,6355.4,6435.9,6683,6829,7011,7167,7289,7368.3,7446.7,7705,7795,7927,8005,8089,8207,8297,8382.9,8462.3
