l,l,l,l,l,l,l,r,l,l,r,p,a,c,c,d,d,d,p,a,c,c,r,p,a,c,c,x,y,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,l,l,r,p,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c
43,265,425,595,753,1449,1641,1983,2133,2279,2427,2589,2743,2813,2887,3061,3133,3203,3309,3427,3495,3571,3793,3943,4103,4171,4245,4431,4583,4707,4781,4851,4957,5075,5143,5217,5447,5595,5753,5827,5899,6003,6117,6187,6263,6475,6609,6785,6933,7079,7149,7223,7399,7553,7673,7747,7819,7925,8039,8109,8185,8425,8547,8723,8879,9025,9099,9175,9387,9535,9663,9735,9805,9911,10031,10101,10177,10419,10577,10825,10979,11137,11213,11285,11393,11505,11579,11655,11871,12019,12151,12225,12299,12403,12513,12589,12667,12903,13085,13233,13383,13453,13529,13723,13879,14003,14079,14149,14257,14377,14443,14521,15019,15179,15341,15413,15485,15591,15711,15781,15859,16173,16313,16587,16739,16895,16965,17043,17269,17423,17571,17643,17717,17827,17949,18019,18095
179,395,527,697,843,1573,1741,2055,2211,2353,2501,2671,2791,2867,2949,3119,3191,3275,3381,3477,3553,3637,3869,4031,4155,4231,4313,4561,4645,4767,4841,4925,5035,5129,5201,5283,5519,5691,5815,5889,5975,6079,6175,6247,6325,6547,6683,6861,7019,7131,7209,7291,7541,7615,7735,7811,7895,7997,8091,8171,8247,8487,8623,8801,8967,9085,9159,9245,9521,9605,9725,9799,9881,9993,10081,10161,10259,10491,10649,10903,11069,11199,11273,11361,11471,11563,11637,11721,12009,12087,12213,12291,12375,12483,12573,12651,12733,12971,13161,13327,13433,13511,13595,13873,13947,14067,14143,14225,14335,14425,14507,14589,15097,15269,15403,15481,15565,15671,15765,15847,15927,16239,16387,16669,16831,16945,17027,17115,17409,17493,17631,17711,17795,17911,17999,18081,18171
