l,l,l,l,l,r,l,l,r,p,a,c,c,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,r,p,a,c,c,x,y,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c
1797,1953,2187,2339,2539,2863,3005,3153,3319,3481,3633,3703,3775,3959,4031,4101,4205,4323,4393,4465,4705,4853,5019,5093,5163,5267,5381,5451,5525,5755,5905,6053,6123,6197,6383,6531,6655,6729,6799,6903,7017,7087,7161,7365,7513,7647,7719,7789,7893,8009,8081,8155,8377,8557,8707,8851,8923,8997,9205,9355,9489,9563,9633,9739,9855,9927,10003,10231,10385,10567,10715,10861,10933,11007,11197,11345,11477,11553,11623,11725,11839,11911,11987,12187,12339,12491,12561,12635,12739,12847,12927,13005,13261,13417,13609,13759,13899,13983,14057,14257,14411,14537,14609,14683,14791,14909,14981,15057
1871,2087,2269,2423,2603,2935,3085,3227,3385,3559,3671,3753,3835,4015,4089,4173,4281,4371,4447,4527,4771,4935,5079,5149,5237,5339,5435,5509,5585,5825,5985,6105,6179,6259,6519,6591,6717,6789,6871,6979,7067,7143,7241,7505,7585,7707,7781,7865,7971,8061,8139,8217,8441,8631,8789,8905,8983,9057,9345,9425,9551,9625,9709,9817,9907,9987,10075,10295,10451,10643,10803,10915,10993,11073,11337,11391,11541,11613,11697,11803,11895,11971,12051,12327,12403,12551,12625,12709,12817,12909,12989,13083,13321,13487,13685,13849,13961,14039,14121,14405,14481,14597,14673,14755,14865,14963,15037,15121
