w,r,l,r,p,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,x,r,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c,r,p,a,c,c,x,y,d,d,d,p,a,c,c
2140.6,2464.9,2665.2,2939.3,3093.8,3252.5,3323.9,3393.5,3498.2,3598.3,3669.9,3747.2,4011.4,4162.8,4327,4396.9,4466,4573.3,4672,4750.8,4823.5,5099.6,5253.6,5413.1,5484.2,5555.5,5661.8,5763,5838.9,5914.7,6160,6313.2,6476.6,6547.8,6619.6,6727,6826.8,6900.6,6978.1,7182.9,7327.2,7455.6,7528,7599.3,7707.9,7810.9,7884.3,7962.3,8217.4,8375.8,8553.5,8697.9,8831,8905.6,8983.3,9185.1,9334,9470.5,9543.8,9615,9719,9824.9,9898.4,9976.1,10239,10393,10583,10726,10859,10936,11013,11208,11358,11490,11562,11636,11746,11848,11923,12002,12383,12545,12709,12782,12855,12964,13066,13142,13221,13434,13588,13726,13800,13874,13983,14086,14161,14243,14711,14864,14994,15068,15149,15367,15516,15651,15726,15799,15908,16013,16089,16167
2231.1,2517.5,2749.4,2990.5,3159.3,3302.9,3374.5,3459.2,3564,3656,3741.2,3819.4,4063.6,4228.1,4373.9,4450,4532.5,4637.2,4731.4,4789.5,4873.4,5159.8,5323.1,5463.5,5537.2,5622.4,5727.9,5822.9,5900.7,5978.8,6216.1,6386.8,6525.7,6602.8,6686.6,6794.4,6885.9,6965.8,7043.8,7308.9,7381.5,7507.2,7583.9,7665.2,7775.3,7870.6,7947.4,8028.9,8273.4,8435.3,8615.5,8779,8892.4,8979,9055.8,9308.4,9393.5,9519.4,9598.5,9681.3,9791.7,9884.8,9965.6,10043,10294,10454,10643,10807,10921,11002,11083,11336,11415,11540,11617,11704,11814,11909,11995,12074,12443,12616,12760,12837,12923,13031,13127,13217,13298,13565,13648,13781,13858,13942,14052,14147,14239,14318,14760,14933,15054,15136,15215,15491,15574,15701,15780,15862,15978,16074,16162,16241
