l,l,l,l,l,l,l,r,l,l,l,r,p,a,c,c,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,r,p,a,c,c,x,y,d,d,d,p,a,c,c
29,171,371,1177,1787,1957,2127,2423,2591,2757,2933,3141,3305,3451,3521,3595,3779,3855,3925,4029,4147,4219,4295,4537,4693,4863,4939,5011,5111,5235,5301,5379,5645,5809,5975,6051,6123,6225,6335,6415,6491,6721,6879,7047,7107,7183,7377,7530.1,7673,7745,7821,7929,8041,8117,8193
89,307,475,1323,1907,2047,2227,2505,2677,2847,3023,3223,3395,3501,3587,3661,3841,3919,4011,4115,4205,4281,4361,4615,4793,4925,5005,5087,5205,5285,5369,5451,5727,5905,6041,6117,6205,6313,6397,6479,6561,6805,6973,7089,7171,7255,7513.9,7611,7737,7817,7905,8015,8101,8185,8265
