l,l,r,l,l,r,l,l,l,r,p,a,c,c,r,p,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,r,p,a,c,c,x,y,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,l,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,r,p,a,c,c,x,y,d,d,d,p,a,c,c
2415,2961,3195,3351,3505,4191,4345,4495,4647,4839,4989,5127,5202.4,5280.2,5607,5737,5899,5973,6045,6167,6253,6327.5,6406.8,6655,6803,6961,7033,7103,7223,7317,7399,7472.5,7763,7915,8061,8137,8214.8,8405,8555,8691,8765,8837,8947,9049,9126.1,9203.7,9423,9569,9701,9775,9847,9951,10057,10132,10211,10455,10597,10785,10929,11071,11149,11228,11415,11569,11717,11789,11865,11975,12075,12152,12231,12473,12617,12829,12981,13115,13192,13272,13467,13621,13749,13825,13897,14001,14107,14185,14263,14661,14809,14955,15032,15112,15321,15477,15613,15687,15761,15867,15975,16053,16133
2525,3055,3243,3433,3587,4231,4421,4571,4715,4905,5065,5189,5259.2,5343.1,5647,5815,5953,6027,6113,6223,6317,6393.5,6474,6723,6871,7015,7091,7173,7285,7381,7458.6,7540.2,7835,7997,8121,8204.2,8283.2,8539,8623,8747,8823,8909,9017,9115,9190.1,9269.4,9551,9635,9757,9833,9917,10025,10121,10197,10277,10517,10669,10855,11011,11135,11215,11293,11549,11621,11773,11847,11935,12043,12141,12217,12301,12539,12693,12895,13059,13181,13258,13340,13607,13685,13807,13883,13969,14075,14173,14249,14332,14729,14889,15021,15100,15180,15467,15543,15669,15747,15829,15941,16039,16122,16203
